Order #,SB #,SKU,Item Description,Model,Qty,Category,Unit Retail,Ext. Retail,Brand,UPC,Department,Product Class,Subcategory
1176354,778005,1004470511,Satin Nickel Single Cylinder Deadbolt featuring SmartKey Security with Microban Antimicrobial Technology,99800-123,1,HARDWARE AND TOOLS,35.27,35.27,Kwikset,,Hardware,,Door Locks
1176354,777726,1004470511,Satin Nickel Single Cylinder Deadbolt featuring SmartKey Security with Microban Antimicrobial Technology,99800-123,1,HARDWARE AND TOOLS,35.27,35.27,Kwikset,,Hardware,,Door Locks
1176354,778005,583987,SLIDING DOOR HANDLESET- ALUM,C 1000,2,HARDWARE AND TOOLS,17.42,34.84,,,,,
1176354,778005,1002246016,MKE 25FT COMPACT TAPE MEASURE,48-22-6625,2,HARDWARE AND TOOLS,17.35,34.7,Milwaukee,,Tools,,Measuring Tools
1176354,778005,573133,KS SEC BALBOA ENTRY SATIN NICK,405BL 15 CP K6,1,HARDWARE AND TOOLS,34.41,34.41,,,,,
1176354,777726,573133,KS SEC BALBOA ENTRY SATIN NICK,405BL 15 CP K6,1,HARDWARE AND TOOLS,34.41,34.41,,,,,
1176354,777726,1002080172,4 in. x 4 in. Post Adapter in Black with 3 Mailbox Mounting Options,7540B-10,3,HARDWARE AND TOOLS,11.44,34.32,Architectural Mailboxes,,Hardware,,Mailbox Hardware
1176354,778005,623028,"""HUSKY 38PC RATCHET/SOCKET SET 3/8"""""" (Please be advised that sets may be missing pieces or otherwise incomplete.)",H38MTSN,1,HARDWARE AND TOOLS,33.66,33.66,,,,,
1176354,777726,1005019802,2-in-1 Folding Utility Knife and Sporting Knife,99978,3,HARDWARE AND TOOLS,11.2,33.6,Husky,,Tools,,Knives & Blades
1176354,777726,1000014724,Folding Lock-Back Utility Knife (3-Pack) (Please be advised that sets may be missing pieces or otherwise incomplete.),96359,2,HARDWARE AND TOOLS,16.72,33.44,Husky,,Tools,,Hand Tool Sets
1176354,777726,362263,ESTWING 16OZ SMTH FACE STL HMR,E3-16S,1,HARDWARE AND TOOLS,33.31,33.31,,,,,
1176354,777726,716182,KS SEC POLO COMBO PACK SATIN NICKEL (Please be advised that sets may be missing pieces or otherwise incomplete.),690P 15 CP K6,1,HARDWARE AND TOOLS,32.84,32.84,,,,,
1176354,778005,1004714742,35 ft. x 1-1/16 in. Compact Magnetic Tape Measure with 15 ft. Reach,48-22-0335,1,HARDWARE AND TOOLS,32.54,32.54,Milwaukee,,Tools,,Measuring Tools
1176354,777726,1002338438,1/4 in. Drive 100-Position Ratchet and Universal SAE/Metric Socket Wrench Set (20-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),H1004D20SWS,1,HARDWARE AND TOOLS,32.44,32.44,Husky,,Tools,,Hand Tool Sets
1176354,777726,637107,"""HUSKY 11PC 1/2"""" DRV SAE DEEP IMP SET"" (Please be advised that sets may be missing pieces or otherwise incomplete.)",H2DSAEI11PCSR,1,HARDWARE AND TOOLS,32.24,32.24,,,,,
1176354,777726,734512,KS SIG TUSTIN BED/BATH VEN BRONZE,730TNL11PCP,1,HARDWARE AND TOOLS,31.99,31.99,,,,,
1176354,778005,1002585107,"Diecast, White, Patio Door Handle Set with Clamp Upgrade (Please be advised that sets may be missing pieces or otherwise incomplete.)",C 1263,1,HARDWARE AND TOOLS,31.72,31.72,Prime-Line,,Hardware,,Sliding Door Hardware
1176354,778005,567418,KS SEC SGL CYL DBOLT POL BRASS,660 3 CP K6,2,HARDWARE AND TOOLS,15.74,31.48,,,,,
1176354,777726,1005590372,12 in. Quick Adjusting Curved Jaw Groove Joint Pliers,90142,2,HARDWARE AND TOOLS,15.74,31.48,Husky,,Tools,,Pliers
1176354,777726,748247,KS SIG JUNO BED/BATH POL BRASS,730J3CP,2,HARDWARE AND TOOLS,15.65,31.3,,,,,
1176354,778005,360199,"""SCOTCHBLUE 1.88"""" 2090 6PK"" (Please be advised that sets may be missing pieces or otherwise incomplete.)",2090-2-CP,1,HARDWARE AND TOOLS,30.84,30.84,,,,,
1176354,778005,1001383476,"""HUSKY 3/8"""" DRIVE FLEX EXTNDBL RTCHT""",H38FERAT,1,HARDWARE AND TOOLS,30.69,30.69,Husky,,Tools,,Ratchets & Sockets
1176354,778005,865021,"""CH-LOCK 9.5""""HL RND NOSE LINEMENS PLI""",369,1,HARDWARE AND TOOLS,30.62,30.62,,,,,
1176354,778005,1002624845,Cove 690 Satin Nickel Keyed Entry Door Knob and Single Cylinder Deadbolt Combo Pack (Please be advised that sets may be missing pieces or otherwise incomplete.),96900-366,1,HARDWARE AND TOOLS,30.48,30.48,Kwikset,,Hardware,,Door Locks
1176354,777726,1002624845,Cove 690 Satin Nickel Keyed Entry Door Knob and Single Cylinder Deadbolt Combo Pack (Please be advised that sets may be missing pieces or otherwise incomplete.),96900-366,1,HARDWARE AND TOOLS,30.48,30.48,Kwikset,,Hardware,,Door Locks
1176354,778005,1005001218,1/2 in. Drive x 18 in. to 24 in. Extendable Breaker Bar,H12EXTBB1824,1,HARDWARE AND TOOLS,30.16,30.16,Husky,,Tools,,Ratchets & Sockets
1176354,777726,865116,"""CHANNELLOCK 8"""" RETAINING RING PLIER""",927,1,HARDWARE AND TOOLS,29.99,29.99,,,,,
1176354,777726,177971,SLIDING DOOR PULL FOR MORTISE LATCH,C 1139,2,HARDWARE AND TOOLS,14.9,29.8,,,,,
1176354,777726,1004323115,Adjustable 8 in. to 24 in. Magnetic Drawer Divider 6-piece set (Please be advised that sets may be missing pieces or otherwise incomplete.),HMDRWDIV,1,HARDWARE AND TOOLS,29.64,29.64,Husky,,Tools,,Tool Storage Accessories
1176354,778005,1006370026,10 in. & 12 in. Dual Material Tongue and Groove Plier Set with Grip Zone V-Jaw (Please be advised that sets may be missing pieces or otherwise incomplete.),RT400SGSET2-05,1,HARDWARE AND TOOLS,29.53,29.53,Crescent,,Tools,,Hand Tool Sets
1176354,777726,568120,KS SEC TYLO DBL CYL CMB POL BRASS,695T 3 CP K6,1,HARDWARE AND TOOLS,29.3,29.3,,,,,
1176354,777726,1002697294,CABINET HARDWARE JIG,KHI-PULL,1,HARDWARE AND TOOLS,29.2,29.2,,,,,
1176354,777726,1004347534,"Vision HD Rechargeable LED Metal Flashlight, 1200 Lumens",ENPMHRL7,1,HARDWARE AND TOOLS,29.06,29.06,Energizer,,Tools,,Handheld Flashlights
1176354,778005,1000032896,Wood Handle Folding Lock-Back Utility Knife,97211,3,HARDWARE AND TOOLS,9.67,29.01,Husky,,Tools,,Knives & Blades
1176354,778005,419825,WHITE PATIO DR HANDLE MORTISE STYLE,C 1225,1,HARDWARE AND TOOLS,28.95,28.95,,,,,
1176354,777726,419825,WHITE PATIO DR HANDLE MORTISE STYLE,C 1225,1,HARDWARE AND TOOLS,28.95,28.95,,,,,
1176354,778005,734509,KS SIG TUSTIN BED/BATH SATIN NICKEL,730TNL15CP,1,HARDWARE AND TOOLS,28.84,28.84,,,,,
